"","Inbred","PHK76_DEH1.2020","PHK76_DEH1.2021","PHK76_IAH1.2021","PHK76_IAH2.2021","PHK76_IAH3.2021","PHK76_IAH4.2021","PHK76_ILH1.2021","PHK76_INH1.2020","PHK76_NCH1.2021","PHK76_WIH2.2020","PHK76_WIH2.2021","PHP02_DEH1.2020","PHP02_DEH1.2021","PHP02_IAH2.2021","PHP02_IAH3.2021","PHP02_IAH4.2021","PHP02_MIH1.2021","PHP02_MNH1.2020","PHP02_MNH1.2021","PHP02_OHH1.2020","PHP02_WIH1.2020","PHP02_WIH1.2021","PHP02_WIH2.2020","PHP02_WIH2.2021","PHP02_WIH3.2021","PHZ51_DEH1.2020","PHZ51_DEH1.2021","PHZ51_GAH1.2020","PHZ51_GAH1.2021","PHZ51_IAH1.2021","PHZ51_IAH2.2021","PHZ51_IAH3.2021","PHZ51_IAH4.2021","PHZ51_NCH1.2021","PHZ51_NEH1.2020","PHZ51_NEH1.2021","PHZ51_NEH2.2020","PHZ51_NEH3.2020","PHZ51_SCH1.2021","PHZ51_TXH1.2020","PHZ51_TXH2.2020","PHZ51_TXH2.2021","PHZ51_TXH3.2021","PHZ51_WIH2.2020","PHZ51_WIH2.2021"
"98","W10004_0505",9.81349337544149,12.0785927581267,9.82565250792476,11.8694286681066,11.5221066322138,11.2904003094623,11.7749776324129,11.7970750159079,8.24267315211953,12.4076958414944,12.6645834777944,10.0353409804411,12.1889102545181,11.8124301128868,11.1675446455168,9.87584444856788,12.6824355505568,11.6915784411914,11.7320900769266,13.9867396026976,12.1872976811111,12.9728383794054,12.4640851301662,12.9438360076391,10.7585000756074,9.11066749403135,11.490287908852,7.36149988354527,9.56126295064142,9.05103460818038,11.7633630642182,10.734986583043,10.0548771655178,7.53991714498543,8.32457668861868,11.6308712514552,10.6941660544316,11.2664062673229,6.42308334372451,8.73099434420308,6.6051132038027,11.5191971121503,4.19855042193542,11.4062695462601,12.2898898550298
"99","W10004_0601",10.5000376068216,11.4979621683187,10.7382136227815,11.3389840673938,11.5052716159979,10.3684419472356,12.5526762983688,12.7147736225007,9.73057228756418,11.1051212114775,13.3659152813777,10.044145401606,12.6682489982623,12.5860977197093,12.1664121968205,11.8266882539286,12.8846277847048,12.7285234325878,11.4335175196201,13.9830104018848,12.5422850828144,14.0931426434958,14.3024331379294,12.7752927534722,10.7061425246444,9.50296784837932,12.4100032406279,8.14424641367547,10.5454802210256,9.9453970946538,12.0981719030527,11.8597536837824,12.2252471167425,10.0606582002112,10.8061462020974,12.1002344039851,10.4260645627437,11.6087793536983,7.50874221497749,9.51294107392361,8.44085513311063,10.2411134628432,4.33918766866783,12.4458145414161,13.5353157416762
"100","W10004_0608",9.56333419058121,11.2647577450205,9.09900745179111,11.2675707596969,9.86163979885815,10.743847407588,11.0869611061922,12.1520600554414,8.55499948441326,10.5202011589129,12.0365031436711,7.8677164576981,10.3173631458779,10.5044547497471,11.3335237514821,9.35060560212318,11.2070120581911,10.0174964991865,8.90560151636377,12.7127074627292,8.81655579514934,12.3684425666887,10.3581426781705,11.3292130723703,7.86764467210936,7.74581875572683,9.67667987591102,7.31774542006075,8.80978627331929,8.28904791832303,11.1412707392329,10.7140870422502,10.2777527974806,7.68329383737073,8.53136771107449,8.64450931248679,8.8035851839974,10.3885136266852,5.20251983842305,8.92515225614672,6.135227585045,8.23269891458969,3.41060671754399,11.6706010312548,10.7570783233587
"101","W10004_0612",10.5446498656365,13.4346956084063,10.9881710999401,12.2753825459582,10.6324229357259,10.9924058652149,13.4732530161724,13.0559956479312,9.14865570166011,13.6366180938678,13.3514438607944,11.1351638659353,12.9831983666272,13.3005359268021,12.3358629158014,12.9013238774706,14.339583088307,12.4434742620777,11.8364445201946,15.2272162010775,13.3464278665878,15.1425981148997,13.2710399505919,14.4150246474103,11.9804792644829,8.61201371544489,10.6680243832028,8.7070640607773,10.1779122388874,10.6881356019797,11.415034823293,11.7292296612787,10.3313894558155,8.77488016823335,7.35653631341919,11.6907555286499,10.6272800218764,10.6884169363858,7.08536121065985,9.39218508145636,7.35919282379482,10.03476766073,3.91613788693527,10.9906992221089,12.3012239892339
"102","W10004_0614",9.60377536458034,12.3565316884552,10.9190115951318,11.7493647773799,12.2072808541362,11.1216981797798,12.8840974113043,13.146416184559,9.3439019199238,11.9646488548522,14.0158570248642,9.26828221755983,12.8277655063931,11.4572869828673,11.5675190604119,11.8591466222179,13.4087556150364,10.6666446743556,10.8104038455018,13.194029373422,11.5491812190189,13.1337349109601,10.7843209508565,13.6451904290276,11.8829418705996,8.80224786601341,11.0439162380044,9.13970683753683,10.5039916862802,10.264650813908,11.3928213647393,11.1520691730336,10.4892511431885,8.8338267878412,8.24821052448956,8.73770212682096,10.164651896583,11.6645987919001,8.4837426055128,9.85615611394554,6.56059081128201,8.98120754570508,4.97175345355932,11.1965838489254,13.5050034339339
"103","W10004_0616",10.1367766695218,11.7947119412817,10.7116762643312,11.2764377435851,11.909197728842,10.8016654299806,11.7998226444471,13.5801434866847,7.7747080724985,12.8781447528831,11.7473103590657,11.2386166631149,13.3550866737888,12.985016641238,12.7467095347914,13.285795024442,14.4496435828268,11.7117083004607,13.3256109959985,15.1600372954553,13.0560730053368,14.881947157692,13.4525604936109,13.6517939236731,11.7650269012313,9.84015143348933,12.3041658417288,9.88976568014275,10.248142703765,10.0082991222624,12.1881709664389,11.977011083667,11.976730627757,9.4015565293763,10.1238470056769,12.2179874914174,10.9528898276873,11.9913470222041,7.57081453774812,10.6215474075202,7.30301022271273,9.84222886738443,4.43058704554133,12.8715199081629,13.2257648428538
"105","W10004_0619",10.7778846068242,13.3512009032911,10.8621446814325,13.9219605614949,12.0879932986937,12.5912469348182,14.0459794939043,14.3700893680951,10.6706855877264,13.5819591115235,13.8741274201247,11.1755027381682,13.38185249647,13.0009768068629,13.1688681950634,12.3819615418051,13.8673576853845,12.941803698223,12.6300658467732,14.5786045119398,13.2411651019547,14.1678216917761,11.1635872453174,15.052743272685,12.5233451026713,8.03897792086153,11.8620234961899,8.35673246524297,9.87279969018358,9.5968028564564,11.8506815899405,11.6478538655594,10.2132198791965,8.17377047247586,8.72958189663463,8.30166108913089,10.4461769915629,12.0846228208723,7.24016275124012,10.0692425629099,8.2834410626427,9.79692006852956,4.07805896678149,12.3031651505662,12.907519225243
"106","W10004_0624",9.75173535291583,11.6673457261852,9.93842780647735,11.1071314916837,11.3196371288538,10.200086970974,11.8502090271446,12.412117107424,8.88001182208932,12.3583841446203,12.273109137962,9.86073970794748,12.5342325322751,11.7066007026467,11.2907723642211,11.9247343376162,14.1267507470928,11.9414527263996,12.2010125148773,14.0768393152259,11.4814388877879,13.1562019867355,11.7783279204811,13.6342330191664,11.2012136036111,8.14168262502762,10.7272088128001,5.41750070377266,9.5348210681573,8.03224506829856,10.778133208223,10.6158303934256,9.24166543715706,7.64425970614762,8.89548388618779,11.416634229454,9.13023975193823,9.93021523806844,6.07473248098261,7.90022137048007,5.92398978162541,6.91496725577716,3.99652311301703,10.1720564684358,11.0654586326738
"107","W10004_0625",9.13819962447136,11.830518213061,10.1198473489405,11.8287654831246,11.6921827925791,9.51814463866656,12.7145698779696,12.949363833027,8.80582177293936,11.7415448149945,13.0853985378913,10.1455253470547,12.4853359649601,12.7144992707618,11.5639935483847,10.3528759414775,13.4244825072173,12.3127886159903,11.6962033650204,14.6518488029869,13.6900465474757,13.2456938581838,12.4510250488564,13.2453988418777,11.2156956255089,6.51708232442759,10.937192301793,7.53234479487568,8.99438663449773,7.83570273048468,11.149500970213,9.06941294905933,9.43941086640969,9.15911396094449,6.97658001801743,5.85432034295543,9.43515363212596,10.1211445800008,6.28965052703901,9.49062682188371,7.43927056343233,9.00601756783204,3.08403611615206,9.80071342488528,11.8931878246556
"108","W10004_0626",9.50507480182626,11.1681118000171,9.16782395620774,11.2993997008817,10.9457371935538,10.6161761107642,11.0227769278401,11.9588977567852,8.17432023052052,11.7683820094233,13.0262501133111,9.98638502351834,12.2155472540457,12.021083070128,12.7587390732436,11.3666247106534,12.7398673951083,11.5605007798758,11.7424927231285,14.2032275609688,12.4564897165136,14.006067246759,12.4305677000602,13.0530218077348,10.7240067198425,7.41680480614511,9.86861033642571,8.22307447522267,8.40423367128873,9.53651711335895,11.3906583359989,11.1010353142221,10.813772844152,7.94279641866165,6.5439087581122,9.93253224321098,9.35006208193296,11.0558300602744,6.65343102886303,8.71454694276963,6.96457960984802,8.10867089604841,3.33206136493987,11.6261369166398,11.3450190359243
