"","Inbred","Slope_PHK76","Slope_PHP02","Slope_PHZ51","Intercept_PHK76","Intercept_PHP02","Intercept_PHZ51"
"29","W10004_0118",-0.0457910132932508,1.17407871270533,-2.71595814739095,0.179968234112477,-0.983783760985246,2.48764678146926
"30","W10004_0119",1.01130367825632,-0.436258304829909,-1.31125280562059,-1.33443028814303,1.55595087697253,0.730931737228981
"31","W10004_0127",0.494794028602291,0.813679444680683,-1.63099383794522,-0.802215115696151,-1.98900093298767,1.32372297779034
"32","W10004_0129",-0.387593306538111,-0.821625679283462,2.34155324985064,1.28842901658514,1.96061482391465,-1.53120712840408
"33","W10004_0132",0.85619762595899,-0.297859887698596,-0.176976028966732,-2.04164739066878,0.536215413938477,-0.196127711382679
"34","W10004_0138",0.84353903087694,0.173839310201895,0.130100064238405,-1.34402850728232,-1.01711647668991,-1.13372084498596
"35","W10004_0140",2.52921436045902,1.421968739244,3.12562783342465,-2.51711054584599,-1.39011504387862,-3.41967628754232
"36","W10004_0146",0.968327134530805,0.231674188739644,1.53874148184056,-0.230507567670755,0.488818288952822,-1.7867719508838
"37","W10004_0147",-0.0890094016954882,-2.40347890053506,-1.1305366207892,-0.420857088222331,1.69817945841959,1.45445965115371
"38","W10004_0148",-0.574659550377601,1.35172061571218,3.20373182495557,1.08355419039196,-0.994592811629924,-2.59145556263726
"39","W10004_0152",0.55639736153058,-1.48452687407815,1.82338769159367,-1.07385837692614,0.441724391824788,-2.08930628568895
"40","W10004_0153",-0.25581349888512,-0.173958001046133,-0.723643657040921,-0.996475795883853,-1.37716851230722,-1.06313821412005
"41","W10004_0160",-0.300778794562708,0.268937683559795,-3.14410175032611,0.852463428254051,0.349967316102605,2.57332819342612
"42","W10004_0166",-1.62326179102894,-1.04011191611856,1.97937154946579,2.14897416441737,0.284346729429826,-1.60526796560034
"43","W10004_0185",-1.37945107967976,2.50738655473247,1.41779945271097,-0.0193861071747834,-3.38510098684979,-2.3712933358088
"44","W10004_0190",-0.676149302808045,-0.95791815150573,1.84728029451461,1.72375231644149,1.62752885574352,-0.831831641715298
"45","W10004_0197",1.23817252761898,-1.43641046287288,1.88443375450747,-0.787607492400858,0.694666494364323,-2.25192680333813
"46","W10004_0199",2.45726134854628,-0.169816275404694,-1.31779903695081,-3.09903870694348,0.517774497227608,1.16194737183965
"47","W10004_0200",0.485173304938973,-2.93011239126303,1.60940017010181,0.536348310072228,3.49582260301368,-0.903473715740851
"48","W10004_0203",-1.09078180449886,-1.20779104461772,3.70393067278455,0.893793687833702,1.21978722528586,-2.93704844837599
"49","W10004_0206",0.143857163741606,-0.34297685063088,0.32018774535635,-1.1745621605391,-1.13939682628173,-0.844977117443822
