,Inbred,PHK76_DEH1.2020,PHK76_DEH1.2021,PHK76_IAH1.2021,PHK76_IAH2.2021,PHK76_IAH3.2021,PHK76_IAH4.2021,PHK76_ILH1.2021,PHK76_INH1.2020,PHK76_NCH1.2021,PHK76_WIH2.2020,PHK76_WIH2.2021,PHK76.Yield,PHP02_DEH1.2020,PHP02_DEH1.2021,PHP02_IAH2.2021,PHP02_IAH3.2021,PHP02_IAH4.2021,PHP02_MIH1.2021,PHP02_MNH1.2020,PHP02_MNH1.2021,PHP02_OHH1.2020,PHP02_WIH1.2020,PHP02_WIH1.2021,PHP02_WIH2.2020,PHP02_WIH2.2021,PHP02_WIH3.2021,PHP02.Yield,PHZ51_DEH1.2020,PHZ51_DEH1.2021,PHZ51_GAH1.2020,PHZ51_GAH1.2021,PHZ51_IAH1.2021,PHZ51_IAH2.2021,PHZ51_IAH3.2021,PHZ51_IAH4.2021,PHZ51_NCH1.2021,PHZ51_NEH1.2020,PHZ51_NEH1.2021,PHZ51_NEH2.2020,PHZ51_NEH3.2020,PHZ51_SCH1.2021,PHZ51_TXH1.2020,PHZ51_TXH2.2020,PHZ51_TXH2.2021,PHZ51_TXH3.2021,PHZ51_WIH2.2020,PHZ51_WIH2.2021,PHZ51.Yield
208,W10004_1045,10.63696582,13.50946369,11.19233881,12.7340202,12.53461576,12.18418884,12.55217087,12.30648147,10.17783027,11.22588261,13.32296588,12.03426584,9.498647025,13.71172865,12.98291465,12.87770233,12.04708692,13.21986085,12.34926053,10.88280059,15.29936488,13.32664471,14.6528746,14.22308086,13.34046486,12.12196341,12.89531392,8.462379105,10.52217466,8.104368018,9.629196343,10.02567661,10.95993902,10.20261898,10.30535072,8.476468282,7.286154784,6.982587859,10.44438044,10.76312035,5.943996014,8.398714705,6.807152978,8.405182606,3.903342537,10.04493864,12.70772479,8.918773372
209,W10004_1052,8.533712508,9.314245784,8.177724118,9.748388189,10.3249102,9.582544067,11.05461849,10.72701889,8.602337397,10.94410072,11.30533994,9.846812755,8.392119692,11.19145079,10.91772059,10.15594836,9.72863515,12.03331762,9.889402764,10.0642692,11.93596532,10.11985992,11.71994431,9.899026071,11.77509128,9.588152161,10.52935023,8.802653962,11.77726987,7.495379965,10.11487433,9.585879833,11.35361226,10.63185569,10.01566361,9.13268117,9.122112599,12.19112828,10.38638151,12.31791803,7.997467863,10.21338093,7.576516523,8.696735152,3.771739232,10.74099839,12.47767033,9.720095975
210,W10004_1057,8.964694306,12.06522881,8.985001294,10.83082876,10.75418113,9.927531578,11.60560291,10.29445445,7.477155526,10.81298254,11.38921925,10.28244369,9.879090205,12.45869587,11.35550965,11.59295342,10.52204372,12.43286596,11.37922308,11.06480885,13.24778392,11.39020925,13.14429527,10.3190737,12.4064711,11.8152085,11.64344518,8.857061778,11.97346296,7.439614921,9.656939633,8.403444855,10.88449644,10.78069911,9.813795325,6.958639676,8.674282278,11.11267381,9.590093213,10.69887571,6.973658459,8.680981075,6.434158042,8.377649161,5.062490075,10.82983372,12.98105826,9.209195425
211,W10004_1072,8.72108517,12.70494062,10.33979765,11.72652924,11.58316265,11.00955802,12.22768752,12.04962498,9.639515614,12.04717994,13.08446824,11.37577724,10.89154611,13.39740001,12.89672202,12.49730013,12.15985525,12.29853678,12.12309272,11.15356331,14.34771996,12.80175289,14.68820623,13.46119604,13.95304335,12.09956322,12.76924986,7.83076997,11.36236795,8.08031722,9.527855635,9.805071214,11.62026522,11.34249312,9.868841805,8.571808444,5.971143931,6.802243794,9.755400466,9.900264075,7.119748212,9.030183154,7.126162891,8.94000728,4.623614987,10.36071001,12.14263707,8.989095322
212,W10004_1081,9.94348857,11.10675792,10.13085263,11.36372312,12.29110947,12.10541758,12.51848698,12.87208843,9.918570854,10.99063501,13.52828597,11.52449241,9.006984371,11.36404785,10.56153029,11.77801878,10.38027416,12.19336826,11.52310032,10.12343913,13.67892332,12.16249632,12.08945189,10.19352266,13.12616678,10.28099209,11.31873687,9.031815057,11.40110534,8.270194665,10.01882322,9.674660633,11.15456039,11.17617959,11.20576624,8.283165561,8.088027242,10.79710571,9.990834468,11.28874322,7.205208205,10.45381486,8.172526185,10.11868974,4.997523478,10.88362281,12.41177335,9.731206998
213,W10004_1084,9.810084262,12.26236574,10.26563098,11.21140816,11.14995201,11.17236802,11.89048832,12.41186368,9.114851555,12.19789951,12.43924542,11.26601433,10.08844557,12.13984985,12.27279525,11.07844615,12.01959599,13.36108835,11.5845918,11.42913407,13.33551633,11.75786827,14.28976192,13.81576736,12.40525368,10.56358919,12.15297884,8.918001769,10.29416358,6.132056093,9.255763955,8.116764938,10.56514356,11.37317833,9.838624777,9.01289742,8.057245548,10.31170271,12.25033041,10.28967973,6.794908473,9.383346102,6.014533255,8.281101234,4.282284614,12.70837534,10.6301513,9.125512657
214,W10004_1099,8.343255327,9.811615505,8.870701675,11.43930618,10.3922171,10.3304646,11.31771411,12.47541388,7.926661098,10.38912718,12.90806547,10.3822311,9.191178087,11.06247434,11.76175717,10.19982134,10.63699743,12.34041965,11.42381292,10.48787183,13.3146687,11.41383638,12.9822181,11.52600838,12.54152607,10.72359273,11.40044165,7.899559766,10.43231022,7.701374114,9.892270146,8.692455638,10.98724167,10.20882316,10.14856799,7.977535768,8.313726016,7.644320418,10.68494367,10.8018577,6.222180804,8.88038472,6.789834391,9.022647787,3.861892729,13.03907585,12.8199284,9.101046547
215,W10004_1104,8.692878365,10.98136525,9.448254874,10.60365684,10.28937098,10.56285713,11.51734885,11.8656539,8.495783964,10.46945724,12.22919891,10.46871148,8.856642454,11.74363179,11.24578978,11.20270194,10.87677048,12.57364494,10.95976936,10.59718912,13.12797621,11.27590198,12.5902409,12.73241778,12.63238968,9.982216364,11.45694877,8.672162907,11.20202038,8.943423944,9.217669362,8.785038815,10.86626712,10.83243687,10.03171123,8.636713528,8.521263042,11.65570926,10.35134583,10.71908172,7.11538601,9.350909115,7.388222852,9.352450929,4.41791682,12.2975203,10.91282384,9.463503693
216,W10004_1105,9.756881912,12.23121558,9.71725289,11.40923096,11.42967261,10.76517252,11.42521653,12.09650409,8.604095628,10.55767951,13.01274565,11.00051526,9.549888035,12.05583474,11.07526707,10.45405856,10.56063424,12.84031154,11.20263204,11.37115194,13.79348853,11.44624425,13.66901617,9.703566829,13.22736351,10.98092991,11.56645624,7.555483737,11.00873852,7.337615424,9.459935635,8.987669443,10.51746846,10.90318753,9.553472647,8.16341303,7.230735135,7.304831682,9.17893454,9.747596741,6.616843993,9.066540365,6.927549509,9.498698665,3.752025271,11.58219516,11.66750621,8.803022085
217,W10004_1112,10.24834969,12.67327031,9.81955528,12.65605797,12.36185491,11.26451593,12.81084882,12.90097515,8.975974055,12.74549829,13.47133084,11.81165739,9.687575215,12.1378801,11.30866206,11.8324223,11.26720882,13.292575,10.74059544,11.08535382,14.11585588,11.25625626,12.80137494,10.96194559,12.60490752,10.55812933,11.68933873,9.175521131,12.25892325,8.687597611,9.996807937,9.644802188,11.72891932,11.80082403,10.61602468,9.114222964,9.611058089,7.650131762,10.74538041,10.94646395,7.323760404,9.426703054,6.689282684,9.772031859,3.971329407,12.33122887,12.84178507,9.716639934
218,W10004_1117,7.233942851,10.69600594,8.749358293,10.20274382,10.84427117,9.308018173,10.40993989,10.93559013,7.467282221,8.353100885,10.99406369,9.563119733,9.65392973,12.23657427,11.44706474,11.85017715,11.01875932,12.9982491,11.6239849,11.15135858,13.56480464,11.48194999,12.46433261,12.35072919,13.06188045,10.01322522,11.77978713,6.261953746,9.495908954,7.634233066,8.042564156,7.573485058,10.05176696,8.839649147,8.579746906,7.016999409,5.954269602,7.416473878,9.179799748,9.120516693,6.348388104,7.908166748,5.340599651,7.212997897,2.12742204,10.10127684,9.747586998,7.69769028
219,W10004_1118,10.19883302,13.11839035,11.19679867,13.14582862,12.77025376,12.08416734,13.35856995,12.57939452,10.32899033,11.63413595,14.19297997,12.23712204,10.93570602,13.67718462,13.13312469,12.53986152,12.79047068,14.1098524,11.67056184,11.91984923,14.46845527,13.31660299,14.38070999,12.39146739,13.98185975,11.44422798,12.91142388,7.70324809,12.77550872,8.632917018,10.393413,10.1463354,12.32273491,13.34672155,10.82611966,9.018795337,9.478520956,11.12805898,10.24488604,11.77831965,5.929889214,10.13062539,7.947684678,9.582812902,5.075987622,12.19441115,13.06677074,10.08618805
220,W10004_1140,8.785901837,11.36943268,9.569004628,11.62208776,12.071423,9.165435534,12.76059732,13.10012125,8.781938709,10.27478857,12.03449313,10.86683858,10.02073934,12.82137357,12.8713455,11.95806823,12.25607479,14.05868063,11.89564156,12.31534725,14.65489147,12.29936053,14.44246231,14.15384907,13.44544212,11.64958848,12.77449035,6.727344417,9.736415249,5.851225431,8.566971503,8.474446457,10.70576553,11.07219044,8.781697583,7.796421831,6.440260565,7.904652447,9.689219117,9.712825,6.15239597,7.842501454,5.840412734,8.975940906,3.175684949,8.617904414,9.604473499,8.083437475
